,Title,Date,Author Keywords
37,MIMLRBF: RBF neural networks for multi-instance multi-label learning ,2009/10/01,"Machine learning,Multi-instance multi-label learning,Radial basis function,Scene classification,Text categorization"
38,Modeling stack overflow tags and topics as a hierarchy of concepts ,2019/10/01,"Concept hierarchy,Hierarchical topic model,Stack overflow,Tag synonym identification,Tag prediction,Entropy-based search evaluation"
39,"What you use, not what you do: Automatic classification and similarity detection of recipes ",2018/09/01,"Recipe,Cooking food,Lassification,Multi-label,Text mining,Similarity search"
40,Reduced one-against-all method for multiclass SVM classification ,2011/10/01,"Support vector machines,Multi-class classification,One-against-all,Text categorization"
41,Multi-Label Low-dimensional Embedding with Missing Labels ,2017/12/01,"Label imputation,Low rank,Instance-wise label correlation,Inductive classifier"
42,On applying linear discriminant analysis for multi-labeled problems ,2008/05/01,"Dimension reduction,Linear discriminant analysis,Multi-labeled problems,Text categorization"
43,Theoretical foundations of forward feature selection methods based on mutual information ,2019/01/24,"Mutual information,Feature selection methods,Forward greedy search,Performance measure,Minimum Bayes risk"
44,Investigating the transferring capability of capsule networks for text classification ,2019/10/01,"Capsule network,Dynamic routing,Domain adaptation,Multi-label text classification,Cross-domain sentiment classification"
45,Multi-label classification by exploiting label correlations ,2014/05/01,"Multi-label classification,Rough sets,Uncertainty,Correlation"
46,Where to go and what to do: Extracting leisure activity potentials from Web data on urban space ,2019/01/01,"Place affordance,Urban space,Knowledge extraction,City planning,Latent semantics,Multi-label classification"
47,Multi-label classification and extracting predicted class hierarchies ,2011/03/01,"Multi-label classification,Hierarchy extraction,Text mining,Adaptive resonance theory (ART)"
48,Clustered intrinsic label correlations for multi-label classification ,2017/09/15,"Multi-label classification,Label correlation,Clustered structure,Label-specific component,Shared component,Block coordinate descent"
49,Process models of interrelated speech intentions from online health-related conversations ,2018/09/01,"Intention mining,Text mining,Natural language processing,Machine learning,Process mining,Speech acts,Speech intentions,Conversational processes,Conversation analysis"
50,Manifold regularized discriminative feature selection for multi-label learning ,2019/11/01,"Multi-label learning,Feature selection,Label correlations,Manifold regularization,Optimization objective"
51,Predicting primary categories of business listings for local search ranking ,2015/11/30,"Vertical search,Text categorization,Primary category,Ranking relevance"
52,Feature selection for multi-label classification using multivariate mutual information ,2013/02/01,"Multi-label feature selection,Multivariate feature selection,Multivariate mutual information,Label dependency"
53,Traditional Chinese medicine symptom normalization approach leveraging hierarchical semantic information and text matching with attention mechanism ,2021/04/01,"Traditional Chinese medicine,Symptom,Term normalization,Text matching,Attention mechanism,Hierarchical semantic information"
54,Hierarchical partitioning of the output space in multi-label data ,2018/07/01,"Knowledge discovery,Machine learning,Supervised learning,Text mining"
55,Grouping of TRIZ Inventive Principles to facilitate automatic patent classification ,2008/01/01,"TRIZ,Inventive Principles,Similarity,Patent document,Automatic classification"
56,Cardiology record multi-label classification using latent Dirichlet allocation ,2018/10/01,"Electronic health records,ICD-10 classification,Latent Dirichlet Allocation"
57,Identification of category associations using a multilabel classifier ,2016/11/01,"Wikipedia,Associations mining,Semantic networks,Categorisation,SVM"
58,A novel ant colony optimization based single path hierarchical classification algorithm for predicting gene ontology ,2014/03/01,"Hierarchical classification,Ant colony optimization,Bio-informatics data sets with gene ontology,Protein function prediction,Correlation based IF–THEN rule list"
59,Ordinal convolutional neural networks for predicting RDoC positive valence psychiatric symptom severity scores ,2017/11/01,"Text classification,Ordinal regression,Convolutional neural networks,Research domain criteria,Model interpretability"
60,DeepAdd: Protein function prediction from k-mer embedding and additional features ,2020/12/01,"Protein function prediction,Convolution neural network,Natural language process,Protein-protein interaction network,Sequence similarity profile"
61,Learning multi-label scene classification ,2004/09/01,"Image understanding,Semantic scene classification,Multi-label classification,Multi-label training,Multi-label evaluation,Image organization,Cross-training,Jaccard similarity"
62,Leveraging output term co-occurrence frequencies and latent associations in predicting medical subject headings ,2014/11/01,"Medical subject headings,Multi-label classification,Output label associations,Reflective random indexing"
63,DietHub: Dietary habits analysis through understanding the content of recipes ,2021/01/01,"food Semantic annotation,Dietary habits analysis,Hierarchical multi-label classification"
64,A systematic analysis of performance measures for classification tasks ,2009/07/01,"Performance evaluation,Machine Learning,Text classification"
65,Learning classifiers from dual annotation ambiguity via a min–max framework ,2015/03/05,"Classification,Data annotation ambiguity,Learning from multiple data annotators,Multiple instance learning"
66,Image automatic annotation via multi-view deep representation ,2015/11/01,"Image annotation,Stacked auto-encoder,Imbalance learning,Multi-view learning,Image features,Semantic gap,Deep learning,Multi-labeling"
67,An efficient classification approach for large-scale mobile ubiquitous computing ,2013/05/20,0
68,Approaching Sentiment Analysis by using semi-supervised learning of multi-dimensional classifiers ,2012/09/01,"Sentiment Analysis,Multi-dimensional classification,Multi-dimensional class Bayesian network classifiers,Semi-supervised learning,EM algorithm"
69,Web genre classification with methods for structured output prediction ,2019/11/01,0
70,Developing a FHIR-based EHR phenotyping framework: A case study for identification of patients with obesity and multiple comorbidities from discharge summaries ,2019/11/01,"Clinical phenotyping,HL7 Fast Healthcare Interoperability Resources (FHIR),Electronic Health Records (EHRs),Natural language processing,Algorithm portability"
