,"Title","Date","Author Keywords"
26,"Multi-label clinical document classification: Impact of label-density ","2019/12/30","Multi-label classification,Document classification,Electronic health records,ICD-10 classification"
27,"Deep hiearchical multi-label classification applied to chest X-ray abnormality taxonomies ","2020/12/01","Hierarchical multi-label classification,Chest X-ray,Computer aided diagnosis"
28,"Ina-BWR: Indonesian bigram word rule for multi-label student complaints ","2019/11/01","Multi-label,Student complaints,Bag of word,Indonesian bigram word rule,Opinion identification rules"
29,"Automatic modulation recognition of compound signals using a deep multi-label classifier: A case study with radar jamming signals ","2020/04/01","Multiuser automatic modulation classification,Multi-label learning,Compound signal recognition,Multi-label convolutional neural network"
30,"Equivalence classifier chain Label power set tokenization of toxic comment multi label classification using machine learning ","2021/03/23","Machine learning,Vectorization,IQR,MAE,MSE and EVS"
31,"Deep ranking based cost-sensitive multi-label learning for distant supervision relation extraction ","2020/11/01","Distant supervision,Relation extraction,Class ties,Class imbalance,Multi-label learning,Cost-sensitive learning,Deep ranking"
32,"Multi-label chest X-ray image classification via category-wise residual attention learning ","2020/02/01","Chest X-ray,Residual attention,Convolutional neural network,Image classification"
33,"Multi-label Classification: Problem Transformation methods in Tamil Phoneme classification ","2017/01/01","Supervised learning,Multi-label classification,Speech recognition,Phoneme classification"
34,"SCLS: Multi-label feature selection based on scalable criterion for large label set ","2017/06/01","Machine learning,Multi-label learning,Multi-label feature selection,Relevance evaluation,Conditional relevance"
35,"Granular multi-label feature selection based on mutual information ","2017/07/01","Granular computing,Feature selection,Multi-label learning,Mutual information"
36,"Movie genre classification: A multi-label approach based on convolutions through time ","2017/12/01","Movie genre classification,Convolutional neural networks,Convolutions through time,Multi-label classification"
37,"Semi-supervised multi-label image classification based on nearest neighbor editing ","2013/11/07","Semi-supervised learning,Multi-label classification,Data editing,Image classification"
38,"PadChest: A large chest x-ray image dataset with multi-label annotated reports ","2020/12/01","X-Ray image dataset,Deep neural networks,Radiographic findings,Differential diagnoses,Anatomical locations,MSC,92B20,92C50,68T50,92B10"
39,"Effective lazy learning algorithm based on a data gravitation model for multi-label learning ","2016/05/01",0
40,"Memetic feature selection algorithm for multi-label classification ","2015/02/01",0
41,"Scalable extensions of the ReliefF algorithm for weighting and selecting features on the multi-label learning context ","2015/08/05","Multi-label learning,ReliefF algorithm,Feature weighting,Feature selection,Multi-label classification,Label ranking"
42,"Ensemble multi-label text categorization based on rotation forest and latent semantic indexing ","2016/09/15","Multi-label classification,Text categorization,Ensemble learning,Rotation forest,Content analysis and indexing"
43,"Multi-label ensemble based on variable pairwise constraint projection ","2013/02/10",0
44,"Multi-label classification by exploiting label correlations ","2014/05/01","Multi-label classification,Rough sets,Uncertainty,Correlation"
45,"Multi-label classification and extracting predicted class hierarchies ","2011/03/01","Multi-label classification,Hierarchy extraction,Text mining,Adaptive resonance theory (ART)"
46,"Multi-Label Regularized Generative Model for Semi-Supervised Collective Classification in Large-Scale Networks ","2015/12/01","Collective classification,Generative model,Semi-supervised learning,Multi-label learning,Large-scale sparsely labeled networks"
47,"Capturing correlations of multiple labels: A generative probabilistic model for multi-label learning ","2012/09/01","Multi-label learning,Ranking,Label correlation,Generative model"
48,"An extensive experimental comparison of methods for multi-label learning ","2012/09/01","Multi-label ranking,Multi-label classification,Comparison of multi-label learning methods"
49,"Natural language processing for aviation safety reports: From classification to interactive analysis ","2016/05/01","Safety reports,Aviation,NLP,Document classification,Text mining"
50,"Multi-label collective classification via Markov chain based learning method ","2014/06/01","Machine learning,Multi-label collective classification,Multi-label learning,Collective classification,Markov chain with restart"
51,"Multi-label maximum entropy model for social emotion classification over short text ","2016/10/19","Multi-label maximum entropy model,Social emotion classification,Short text analysis,Co-training algorithm"
52,"A rapid-prototyping framework for extracting small-scale incident-related information in microblogs: Application of multi-label classification on tweets ","2016/04/01","Mining microblogs,Disaster management,Multi-label classification,Incident type detection"
53,"Efficient classification of multi-labeled text streams by clashing ","2014/09/01","Text classification,Data streams,Multi-label classification,Feature hashing,Massive data mining"
54,"A knowledge-graph platform for newsrooms ","2020/12/01","Computational journalism,Journalistic knowledge platforms,Newsroom systems,Knowledge graphs,Semantic technologies,RDF,OWL,Ontology,Natural-language processing (NLP),Machine learning (ML)"
55,"An integration of WordNet and fuzzy association rule mining for multi-label document clustering ","2010/11/01","Fuzzy association rule mining,Text mining,Document clustering,WordNet,Frequent itemsets"
56,"Improving the representation of image descriptions for semantic image retrieval with RDF ","2020/11/01","MSC,41A05,41A10,65D05,65D17,Image representation,RDF,Image retrieval,Cross-lingual retrieval,Semantic image retrieval"
57,"Why was this asked? Automatically recognizing multiple motivations behind community question-answering questions ","2017/09/01","Community question answering,Question analysis,Natural language processing,User analysis,Multi-label learning,Multi-label deep learning"
58,"Technical language processing: Unlocking maintenance knowledge ","2021/01/01","Maintenance,Natural language processing,Asset management,Technical language processing,Artificial intelligence"
59,"Temporal topic modeling applied to aviation safety reports: A subject matter expert review ","2019/07/01","Topic modeling,Sensemaking,Aviation safety,Temporal trends,Natural language processing"
60,"Multi-level similarity learning for image-text retrieval ","2021/01/01","Cross modal retrieval,Semantic extraction,Graph matching"
61,"MetaRisk: Semi-supervised few-shot operational risk classification in banking industry ","2021/04/01",0
62,"Hypergraph network model for nested entity mention recognition ","2021/01/29","Named entity recognition,Information extraction,Neural networks,Natural language processing"
63,"Evolution prediction of unconventional emergencies via neural network: An empirical study of megacities ","2019/10/01","Unconventional emergencies,Megacities,Evolution mechanism,Learning vector quantization,Multi-label classification"
64,"Explainable automated coding of clinical notes using hierarchical label-wise attention networks and label embedding initialisation ","2021/04/01","Automated medical coding,Deep learning,Attention Mechanisms,Explainability,Natural Language Processing,Multi-label classification,Label correlation"
65,"DeepAdd: Protein function prediction from k-mer embedding and additional features ","2020/12/01","Protein function prediction,Convolution neural network,Natural language process,Protein-protein interaction network,Sequence similarity profile"
66,"Deep learning for Arabic subjective sentiment analysis: Challenges and research opportunities ","2021/01/01","Deep learning,Natural language processing,Arabic subjective sentiment analysis"
67,"On revealing shared conceptualization among open datasets ","2021/01/01","Open data,Formal concept analysis,Semantic similarity,Categorization,Natural language processing"
68,"Arabic text classification using deep learning models ","2020/01/01","Arabic text classification/categorization,Single-label text categorization,Multi-label text categorization,Word embedding,Deep learning,SANAD,NADiA"
69,"Language models are an effective representation learning technique for electronic health record data ","2021/01/01","Electronic health record,Representation learning,Transfer learning,Risk stratification,Machine learning"
70,"TWilBert: Pre-trained deep bidirectional transformers for Spanish Twitter ","2021/02/22","Contextualized Embeddings,Spanish,Twitter,TWilBERT"
71,"Antisocial online behavior detection using deep learning ","2020/11/01","Antisocial online behavior,Natural language processing,Text classification,Deep learning,Cyberbullying,Attention mechanism"
72,"Utilizing BERT for biomedical and clinical text mining ","2021/01/01","BERT,Natural language processing,Deep learning,Biomedical text mining,Clinical text mining"
73,"Using structural topic modeling to identify latent topics and trends in aviation incident reports ","2018/02/01","Aviation,Aviation safety,Natural language processing,Topic modeling,Text mining,Aviation safety reporting system"
74,"iEnhancer-5Step: Identifying enhancers using hidden information of DNA sequences via Chou's 5-step rule and word embedding ","2019/04/15","Skip gram,Continuous bag of words,Regulatory transcription factor,Support vector machine,Two-layer classification,Sequence analysis"
75,"Predicting mental conditions based on “history of present illness” in psychiatric notes with deep neural networks ","2017/11/01","Psychiatric condition prediction,Multi-label text classification,Convolutional and recurrent neural networks,Hierarchical attention networks"
76,"DECAB-LSTM: Deep Contextualized Attentional Bidirectional LSTM for cancer hallmark classification ","2020/12/27","MSC,00-01,99-00,Hallmarks of cancer,Data mining,Deep learning,Biomedical text mining,Classification"
77,"CMIR-NET : A deep learning based model for cross-modal retrieval in remote sensing ","2020/03/01","Remote sensing,Cross-modal retrieval,Deep learning,Panchromatic,Multispectral,Audio samples"
78,"Investigating the transferring capability of capsule networks for text classification ","2019/10/01","Capsule network,Dynamic routing,Domain adaptation,Multi-label text classification,Cross-domain sentiment classification"
79,"End-to-end masked graph-based CRF for joint slot filling and intent detection ","2020/11/06","Slot filling,Graph-based CRF,Intent detection,Mask mechanism,End-to-end structure"
80,"Sparse autoencoder for social image understanding ","2019/12/05","Machine learning,Dimensionality reduction,Image understanding,Sparse autoencoder,Multi-label predict"
81,"Rank2vec: Learning node embeddings with local structure and global ranking ","2019/12/01","Network representation,Node embedding,Local structure,Global role"
82,"Separate or joint? Estimation of multiple labels from crowdsourced annotations ","2014/10/01","Multi-label estimation,Crowdsourced annotation,Label dependency,Quality control,Human computation"
83,"Where to go and what to do: Extracting leisure activity potentials from Web data on urban space ","2019/01/01","Place affordance,Urban space,Knowledge extraction,City planning,Latent semantics,Multi-label classification"
84,"Clothes image caption generation with attribute detection and visual attention model ","2021/01/01","Image caption generation,Visual attention mechanism,LSTM,Fashion AI,CNN,Transfer learning,MSC,41A05,41A10,65D05,65D17"
85,"Traditional Chinese medicine symptom normalization approach leveraging hierarchical semantic information and text matching with attention mechanism ","2021/04/01","Traditional Chinese medicine,Symptom,Term normalization,Text matching,Attention mechanism,Hierarchical semantic information"
86,"Multiple degradation mode analysis via gated recurrent unit mode recognizer and life predictors for complex equipment ","2020/12/01","Remaining useful life,Recurrent neural network,Complex equipment,Multiple degradation mode"
87,"Similar case matching with explicit knowledge-enhanced text representation ","2020/10/01","Similar case matching,Multi-task learning,Legal document,BERT,Text matching"
88,"Seq2Emoji: A hybrid sequence generation model for short text emoji prediction ","2021/02/28","MSC,00-01,99-00,Emoji prediction,Multi-label classification,Social media,Neural network"
89,"An intelligent multimodal medical diagnosis system based on patients’ medical questions and structured symptoms for telemedicine ","2021/01/01","Altibbi,Multimodal diagnosis,Machine learning,Natural language processing,Deep learning,Document embedding,TF-IDF,Feature extraction,Digital health,Telehealth,Telemedicine,Computer-aided diagnosis,Arabic language,MENA"
90,"Process models of interrelated speech intentions from online health-related conversations ","2018/09/01","Intention mining,Text mining,Natural language processing,Machine learning,Process mining,Speech acts,Speech intentions,Conversational processes,Conversation analysis"
91,"Hierarchical community structure preserving approach for network embedding ","2021/02/06",0
92,"Multi-disease prediction using LSTM recurrent neural networks ","2021/09/01","Deep learning,Electronic health records,Healthcare informatics,Disease prediction"
93,"A recent advance in the automatic indexing of the biomedical literature ","2009/10/01","Abstracting and Indexing as Topic/∗methods/statistics & numerical data,Artificial Intelligence,Dictionaries, Medical,∗Evaluation Studies as Topic,∗MEDLINE,Medical Subject Headings,Natural Language Processing"
94,"Visual question answering model based on visual relationship detection ","2020/02/01","Visual question answering,Appearance features,Relationship predicate,Word vector similarity"
95,"A computational ecosystem to support eHealth Knowledge Discovery technologies in Spanish ","2020/09/01","Knowledge discovery,Annotated corpora,Semantic annotation models,Entity recognition,Relation extraction,Natural language processing"
96,"Social emotion classification based on noise-aware training ","2019/09/01","Social emotion classification,Emotional concentration,Convolutional neural network,Topic modeling"
97,"An attention-based multi-task model for named entity recognition and intent analysis of Chinese online medical questions ","2020/08/01","Natural language processing,Deep learning,Multi-task learning,Named entity recognition,Intent analysis,Interpretability"
98,"Multi-channel, convolutional attention based neural model for automated diagnostic coding of unstructured patient discharge summaries ","2021/05/01","Disease prediction,Explainability,Healthcare informatics,Interpretability,Predictive analytics,Unstructured text modeling"
99,"On the impact of knowledge-based linguistic annotations in the quality of scientific embeddings ","2021/07/01","Natural language processing,Linguistic analysis,Knowledge graphs,Embeddings"
100,"Implementation of MLDB as high performance machine learning database for high performance applications ","2021/03/06","Machine Learning,Machine learning database,MLDB,High performance MLDB implementation"
101,"Discriminant document embeddings with an extreme learning machine for classifying clinical narratives ","2018/02/14","Document classification,Feature learning,Word embeddings,Document embeddings,Skip-gram,PV-DBOW,Multiple discriminant analysis,Extreme learning machines,Clinical narratives"
102,"Siamese capsule networks with global and local features for text classification ","2020/05/21","Text classification,Capsule networks,Siamese networks,Neural networks,Global and local features"
103,"Capsule Networks – A survey ","2019/09/25","Artificial intelligence,Deep learning,Capsule network,Squashing function,Dynamic routing,Expectation maximization,Backpropagation"
104,"SCC++: Predicting the programming language of questions and snippets of Stack Overflow ","2020/04/01","Classification,Machine learning,Natural language processing,And programming languages"
105,"Automatic medical image interpretation: State of the art and future directions ","2021/06/01","Attention mechanism,Automatic captioning,Convolutional neural network (cnn),Deep learning,Encoder-decoder framework,Image captioning,Long-Short-Term-Memory (LSTM),Medical image caption"
106,"ExEm: Expert embedding using dominating set theory with deep learning approaches ","2021/09/01","Social and collaborative networks,Graph embedding,Node representation,Dominating set,Expert recommendation system"
107,"A survey of word embeddings for clinical text ","2019/12/01","Word embeddings,Clinical data,Natural language processing"
108,"What influences sales market of new energy vehicles in China? Empirical study based on survey of consumers’ purchase reasons ","2020/07/01","Consumers' interests,New energy vehicles,Natural language processing,Data mining,Deep learning,Correlation analysis"
109,"Detecting fake news with capsule neural networks ","2021/03/01","Fake news detection,Capsule neural network,Non-static word embedding"
110,"Text mining and deep learning for disease classification ","2020/01/01","Deep learning,Medical imaging,Radiology,Text mining,Disease classification"
111,"Graph classification algorithm based on graph structure embedding ","2020/12/15","Graph classification,Graph embedding,Neural network"
112,"Ordinal convolutional neural networks for predicting RDoC positive valence psychiatric symptom severity scores ","2017/11/01","Text classification,Ordinal regression,Convolutional neural networks,Research domain criteria,Model interpretability"
113,"Mining massive hierarchical data using a scalable probabilistic graphical model ","2018/01/01",0
114,"Simultaneous Fault Diagnosis using multi class support vector machine in a Dew Point process ","2015/03/01","Simultaneous fault diagnosis,Support vector machine (SVM),Multi label approach,Dew Point process"
115,"SANE 2.0: System for fine grained named entity typing on textual data ","2019/09/01","Named entity typing,Fined-grained,Wikipedia"
116,"Heterogeneous graph neural networks for noisy few-shot relation classification ","2020/04/22","Relation extraction,Heterogeneous graph neural networks,Few-shot learning,Adversarial learning"
117,"Beyond sound level monitoring: Exploitation of social media to gather citizens subjective response to noise ","2019/03/25","Abbreviations,API,Application Programming Interface,ARIMA,AutoRegressive Integrated Moving Average,AUROC,Area Under the Receiver Operating Characteristic,BoW,Bag of Words,CNN,convolutional neural networks,FPR,False Positive Rate,HL,Hamming Loss score,NLP,Natural Language Processing,OSN,Online Social Networks,PoS,Part of Speech,ROC,Receiver Operating Characteristic,TF-IDF,Term Frequency-Inverse Document Frequency,TPR,True Positive Rate,Online Social Networks,Twitter,Noise annoyance,Community response,Natural Language Processing,Text analysis,Text mining,Noise,Environmental noise,Community engagement"
118,"Manifold regularized matrix completion for multilabel classification ","2016/09/01","Multi-label learning,Matrix completion,Manifold regularization"
119,"Deep Learning for Internet of Things Data Analytics ","2019/01/01","Internet of Things,Deep Learning,Data Analytics"
120,"CFSRE: Context-aware based on frame-semantics for distantly supervised relation extraction ","2020/12/27","Distantly supervised relation extraction,Semantic scenario,Attention mechanism"
121,"Using Emotion Analysis to Define Human Factors of Virtual Reality Wearables ","2019/01/01","Ergonomics,Human Factors,Virtual Realty,Emotion Analysis,Social Media"
122,"Computer-assisted separation of design-build contract requirements to support subcontract drafting ","2021/02/01","Contractual requirements,Design-build contracts,Subcontracts,Subcontractors,Natural language processing,Machine learning,Text classification,Text mining"
123,"Automatic Categorization of Social Sensor Data ","2016/01/01","Random Forest classifier,Micro blogging data,Twitter Data Analysis,Smart Cities,Automatic Categorization of Twitterdata ;"
124,"Modeling stack overflow tags and topics as a hierarchy of concepts ","2019/10/01","Concept hierarchy,Hierarchical topic model,Stack overflow,Tag synonym identification,Tag prediction,Entropy-based search evaluation"
125,"An NLP-Powered Human Rights Monitoring Platform ","2020/09/01","Crowdsourcing,Human Rights Monitoring,Machine Learning,Natural Llanguage Pprocessing,Social Mmedia,Twitter,Ceasefire,Applications"
126,"Risk factor detection for heart disease by applying text analytics in electronic medical records ","2015/12/01","Medical records,Risk assessment,Natural language processing,Text classification"
127,"A comprehensive survey of arabic sentiment analysis ","2019/03/01","Arabic text processing,Sentiment analysis (SA),Binary/ternary SA,Multi-Way SA,Aspect-based SA"
128,"Deep neural models for ICD-10 coding of death certificates and autopsy reports in free-text ","2018/04/01","Automated ICD coding,Clinical text mining,Deep learning,Natural language processing,Artificial intelligence in medicine"
129,"Image captioning via hierarchical attention mechanism and policy gradient optimization ","2020/02/01","Image captioning,Hierarchical attention mechanism,Generative adversarial network,Reinforcement learning,Policy gradient"
130,"A survey on automatic image caption generation ","2018/10/15","Image captioning,Sentence template,Deep neural networks,Multimodal embedding,Encoder–decoder framework,Attention mechanism"
131,"A feature selection method for author identification in interactive communications based on supervised learning and language typicality ","2016/11/01","Authorship identification,Natural Language Processing,Supervised learning,Feature selection,Impersonation,Role identification"
132,"An arabic question classification method based on new taxonomy and continuous distributed representation of words ","2021/02/01","Arabic question answering,Arabic taxonomy,Question classification,Natural language processing,Question distributed representation,Word embeddings,Machine learning"
133,"Land use discovery based on Volunteer Geographic Information classification ","2020/02/01","Urban computing,Volunteer Geographic Information (VGI),Land usage,Supervised classification"
134,"Graph representation learning with encoding edges ","2019/10/07","Network embedding,Feature learning,Edge representation,Network mining"
135,"Clinical questionnaire filling based on question answering framework ","2020/09/01","Multi-label classification,EHR,Information extraction,Question answering,Medical text"
136,"A deep neural network model for speakers coreference resolution in legal texts ","2020/11/01","Legal text mining,Coreference resolution,Court record document,Neural networks,Attention mechanism"
137,"Crowd-based Feature Selection for Document Retrieval in Highly Demanding Decision-making Scenarios ","2017/01/01","dimensionality reduction,crowd,collective intelligence,document retrieval,business intelligence"
138,"Psychological Human Traits Detection based on Universal Language Modeling ","2020/10/31","Big Five Personality Model,Personality Traits,LSTM,NLP,Text Analytics,Deep Learning,ULMFiT"
139,"Large-scale multi-task image labeling with adaptive relevance discovery and feature hashing ","2015/07/01","Image classification,Multiple tasks,Feature hashing,Relevance discovery"
140,"Identifying risk factors for heart disease over time: Overview of 2014 i2b2/UTHealth shared task Track 2 ","2015/12/01","Natural language processing,Clinical narratives,Diabetes,CAD"
141,"ABCDM: An Attention-based Bidirectional CNN-RNN Deep Model for sentiment analysis ","2021/02/01","Sentiment analysis,Deep learning,Convolutional neural network,Long short-term memory,Attention mechanism"
142,"Community aware random walk for network embedding ","2018/05/15","Representation learning,Network embedding,Community detection,Skip-gram model,Link prediction"
143,"Extracting COVID-19 diagnoses and symptoms from clinical text: A new annotated corpus and neural event extraction framework ","2021/05/01","COVID-19,Coronavirus,Machine learning,Natural language processing,Information extraction"
144,"Learning classifiers from dual annotation ambiguity via a min–max framework ","2015/03/05","Classification,Data annotation ambiguity,Learning from multiple data annotators,Multiple instance learning"
145,"A systematic comparison of feature space effects on disease classifier performance for phenotype identification of five diseases ","2015/12/01","Phenotyping,Classification,Natural language processing"
146,"A systematic analysis of performance measures for classification tasks ","2009/07/01","Performance evaluation,Machine Learning,Text classification"
147,"DietHub: Dietary habits analysis through understanding the content of recipes ","2021/01/01","food Semantic annotation,Dietary habits analysis,Hierarchical multi-label classification"
148,"Towards a Protein–Protein Interaction information extraction system: Recognizing named entities ","2014/02/01","Biomedical named entity recognition,Protein–Protein Interaction,Dictionary look-up,Conditional random field,Support vector machine"
149,"Squeezing the last drop: Cluster-based classification algorithm ","2007/07/01","Classification,Clustering,Feature selection"
150,"Predicting primary categories of business listings for local search ranking ","2015/11/30","Vertical search,Text categorization,Primary category,Ranking relevance"
151,"Automatic detonator code recognition via deep neural network ","2020/05/01","Automatic detonator code recognition,Machine vision system,Convolutional neural network,Deep learning"
152,"A survey of deep neural network architectures and their applications ","2017/04/19","Autoencoder,Convolutional neural network,Deep learning,Deep belief network,Restricted Boltzmann machine"
153,"Music auto-tagging using scattering transform and convolutional neural network with self-attention ","2020/11/01","Music auto-tagging,Convolutional neural network,Attention mechanism,Scattering transform,Deep learning"
154,"A rule-based approach to emotion cause detection for Chinese micro-blogs ","2015/06/01","Text mining,Emotion causes,Micro-blog,Cause component proportion"
155,"Specializing for predicting obesity and its co-morbidities ","2009/10/01","Classification,Combination of classifiers,Natural language processing,Machine learning"
156,"Evolving Neural Conditional Random Fields for drilling report classification ","2020/04/01","Drilling reports classification,Natural Language Processing,Conditional Random Fields"
157,"HIN_DRL: A random walk based dynamic network representation learning method for heterogeneous information networks ","2020/11/15","Dynamic representation learning,Heterogeneous information networks,Meta path,Dynamic random walk"
158,"An automatic system to identify heart disease risk factors in clinical texts over time ","2015/12/01","Risk factor identification,Clinical information extraction,Heart disease,Machine learning"
159,"EmoSenticSpace: A novel framework for affective common-sense reasoning ","2014/10/01","Sentic computing,Opinion mining,Sentiment analysis,Emotion recognition,Personality detection,Fuzzy clustering"
160,"A text mining framework for advancing sustainability indicators ","2014/12/01","Sustainability indicators,Text mining,Informatics,Knowledge discovery"
161,"Developing a FHIR-based EHR phenotyping framework: A case study for identification of patients with obesity and multiple comorbidities from discharge summaries ","2019/11/01","Clinical phenotyping,HL7 Fast Healthcare Interoperability Resources (FHIR),Electronic Health Records (EHRs),Natural language processing,Algorithm portability"
162,"Social media analytics: Extracting and visualizing Hilton hotel ratings and reviews from TripAdvisor ","2019/10/01","Sentiment analysis,Hospitality,Natural language processing,Social media analytics,Visual analytics,Google trends,TripAdvisor"
163,"Annotating social determinants of health using active learning, and characterizing determinants using neural event extraction ","2021/01/01","Social determinants of health,Active learning,Natural language processing,Machine learning"
164,"Information-preserving feature filter for short-term EEG signals ","2020/09/30","Deep learning,EEG,Generative adversarial networks,Physiological signals,Image translation"
165,"Learning explicit video attributes from mid-level representation for video captioning ","2017/10/01","Mid-level video representation,Video attributes learning,Video caption,Sequence-to-sequence learning,MSC,00-01,99-00"
166,"Bag similarity network for deep multi-instance learning ","2019/12/01",0
167,"Cross-repository aggregation of educational resources ","2018/02/01","Architectures for educational technology systems,Cooperative/collaborative learning,Distributed learning environments,Media in education"
168,"Detecting environmentally-related problems on Twitter ","2019/01/01","Twitter,Social sensor,Problem detection,Topic categorisation,Sentiment analysis"
169,"Phrase2Vec: Phrase embedding based on parsing ","2020/05/01",0
170,"Modeling dynamic construction work template from existing scheduling records via sequential machine learning ","2021/01/01","Construction planning,Data mining,Natural language processing,Machine learning,Neural networks"
171,"Feature selection using Joint Mutual Information Maximisation ","2015/12/01","Feature selection,Mutual information,Joint mutual information,Conditional mutual information,Subset feature selection,Classification,Dimensionality reduction,Feature selection stability"
172,"Integrated feature selection (IFS) algorithm and enhanced weight based convolutional neural network (EWCNN) for social emotion classification ","2021/01/21","Emotion classification,Sentiment classification,Feature selection,Clustering,Integrated Feature Selection (IFS),Animal Migration Optimization based Sparse Encoding (AMO-SC)"
173,"Joint entity recognition and relation extraction as a multi-head selection problem ","2018/12/30","Entity recognition,Relation extraction,Multi-head selection,Joint model,Sequence labeling"
174,"Multi-lingual opinion mining on YouTube ","2016/01/01","Natural Language Processing,Opinion mining,Social media"
175,"KAICD: A knowledge attention-based deep learning framework for automatic ICD coding ","2020/10/28","Automatic ICD coding,Clinic notes,ICD titles,Bidirectional Gated Recurrent Unit,Attention,Knowledge database"
176,"Leveraging output term co-occurrence frequencies and latent associations in predicting medical subject headings ","2014/11/01","Medical subject headings,Multi-label classification,Output label associations,Reflective random indexing"
177,"Integrating heterogeneous sources for predicting question temporal anchors across Yahoo! Answers ","2019/10/01","Multi-view learning,Transfer learning,Question classification,Natural language processing,Intelligent information retrieval,Web mining"
